User,Timestamp,"Bin1,x","Bin2,x","Bin3,x","Bin4,x","Bin5,x","Bin6,x","Bin7,x","Bin8,x","Bin9,x","Bin10,x","Bin1,y","Bin2,y","Bin3,y","Bin4,y","Bin5,y","Bin6,y","Bin7,y","Bin8,y","Bin9,y","Bin10,y","Bin1,z","Bin2,z","Bin3,z","Bin4,z","Bin5,z","Bin6,z","Bin7,z","Bin8,z","Bin9,z","Bin10,z",TimeDiffPeaks-x,TimeDiffPeaks-y,TimeDiffPeaks-z,AvgAbsDiff-x,AvgAbsDiff-y,AvgAbsDiff-z,AvgAcc-x,AvgAcc-y,AvgAcc-z,StdDev-x,StdDev-y,StdDev-z,AvgResAcc,Label
rpshah2,1511212834569.0,0.01025641025641025641025641026,0.01538461538461538461538461538,0.03247863247863247863247863248,0.08547008547008547008547008547,0.1470085470085470085470085470,0.2256410256410256410256410256,0.2170940170940170940170940171,0.1350427350427350427350427350,0.09401709401709401709401709402,0.03418803418803418803418803419,0.006837606837606837606837606838,0.02735042735042735042735042735,0.04786324786324786324786324786,0.1059829059829059829059829060,0.1692307692307692307692307692,0.1572649572649572649572649573,0.1452991452991452991452991453,0.1299145299145299145299145299,0.07692307692307692307692307692,0.07350427350427350427350427350,0.001709401709401709401709401709,0.02393162393162393162393162393,0.09572649572649572649572649573,0.1487179487179487179487179487,0.2068376068376068376068376068,0.1675213675213675213675213675,0.1572649572649572649572649573,0.1179487179487179487179487179,0.04102564102564102564102564103,0.02564102564102564102564102564,65.7784090909,59.8911917098,78.7551020408,0.966132770053,1.0179837192,1.69895621599,-0.5046585735092816,2.596429991110777,9.46973120534522,1.2258080190620633,1.2422290788885855,2.077829030363133,0.5849816847834475,walking
npbandal,1511212831534.0,0.01302460202604920405209840810,0.03039073806078147612156295224,0.07380607814761215629522431259,0.1389290882778581765557163531,0.2257597684515195369030390738,0.2460202604920405209840810420,0.1577424023154848046309696093,0.07670043415340086830680173661,0.02894356005788712011577424023,0.004341534008683068017366136035,0.004341534008683068017366136035,0.01157742402315484804630969609,0.02894356005788712011577424023,0.07959479015918958031837916064,0.1534008683068017366136034732,0.2329956584659913169319826339,0.1939218523878437047756874096,0.1722141823444283646888567294,0.08393632416787264833574529667,0.03617945007235890014471780029,0.008683068017366136034732272069,0.06367583212735166425470332851,0.1215629522431259044862518090,0.1910274963820549927641099855,0.2127351664254703328509406657,0.1837916063675832127351664255,0.1056439942112879884225759768,0.06078147612156295224312590449,0.03617945007235890014471780029,0.01157742402315484804630969609,65.0473933649,69.5252525253,67.7093596059,0.863992073639,0.984519453206,1.39773417549,-0.3968969663600377,5.488281229125436,7.988538092021142,1.1025984861251308,1.2319566501979653,1.7541916660225862,0.6825629903904319,walking
achan,1511212834037.0,0.002463054187192118226600985222,0.01559934318555008210180623974,0.03448275862068965517241379310,0.08292282430213464696223316913,0.1420361247947454844006568144,0.2044334975369458128078817734,0.2068965517241379310344827586,0.1600985221674876847290640394,0.09359605911330049261083743842,0.03940886699507389162561576355,0.01231527093596059113300492611,0.01724137931034482758620689655,0.05008210180623973727422003284,0.1247947454844006568144499179,0.1576354679802955665024630542,0.1806239737274220032840722496,0.1986863711001642036124794745,0.1321839080459770114942528736,0.07963875205254515599343185550,0.03119868637110016420361247947,0.001642036124794745484400656814,0.007389162561576354679802955665,0.07307060755336617405582922824,0.1912972085385878489326765189,0.2298850574712643678160919540,0.1962233169129720853858784893,0.1428571428571428571428571429,0.07963875205254515599343185550,0.06486042692939244663382594417,0.008210180623973727422003284072,42.9434628975,51.0630252101,54.0577777778,1.08263310775,1.08808951806,1.52797136919,0.21834219696095034,4.108245749387444,8.811085091827342,1.3627615764327223,1.3516627463518704,1.8785890458250958,1.2097582826947064,walking
rpshah2,1511212848489.0,0.01038575667655786350148367953,0.02077151335311572700296735905,0.04896142433234421364985163205,0.1157270029673590504451038576,0.1899109792284866468842729970,0.2626112759643916913946587537,0.2195845697329376854599406528,0.1023738872403560830860534125,0.02522255192878338278931750742,0.002967359050445103857566765579,0.002967359050445103857566765579,0.001483679525222551928783382789,0.008902077151335311572700296736,0.04005934718100890207715133531,0.08605341246290801186943620178,0.1454005934718100890207715134,0.2077151335311572700296735905,0.1854599406528189910979228487,0.2002967359050445103857566766,0.09198813056379821958456973294,0.02077151335311572700296735905,0.04451038575667655786350148368,0.1083086053412462908011869436,0.1439169139465875370919881306,0.1691394658753709198813056380,0.1676557863501483679525222552,0.1394658753709198813056379822,0.1068249258160237388724035608,0.05192878338278931750741839763,0.02818991097922848664688427300,57.1244635193,57.8695652174,70.0526315789,0.877781221077,0.751580298459,1.40903412097,-1.0903115880949208,2.1790744317391506,9.515907355515115,1.1152122689090238,0.9243030332655718,1.737305265962819,0.6697751915343575,walking
rpshah2,1511212848489.0,0.01038575667655786350148367953,0.02077151335311572700296735905,0.04896142433234421364985163205,0.1157270029673590504451038576,0.1899109792284866468842729970,0.2626112759643916913946587537,0.2195845697329376854599406528,0.1023738872403560830860534125,0.02522255192878338278931750742,0.002967359050445103857566765579,0.002967359050445103857566765579,0.001483679525222551928783382789,0.008902077151335311572700296736,0.04005934718100890207715133531,0.08605341246290801186943620178,0.1454005934718100890207715134,0.2077151335311572700296735905,0.1854599406528189910979228487,0.2002967359050445103857566766,0.09198813056379821958456973294,0.02077151335311572700296735905,0.04451038575667655786350148368,0.1083086053412462908011869436,0.1439169139465875370919881306,0.1691394658753709198813056380,0.1676557863501483679525222552,0.1394658753709198813056379822,0.1068249258160237388724035608,0.05192878338278931750741839763,0.02818991097922848664688427300,57.1244635193,57.8695652174,70.0526315789,0.877781221077,0.751580298459,1.40903412097,-1.0903115880949208,2.1790744317391506,9.515907355515115,1.1152122689090238,0.9243030332655718,1.737305265962819,0.6697751915343575,walking
npbandal,1511212869316.0,0.01155115511551155115511551155,0.01155115511551155115511551155,0.01485148514851485148514851485,0.02310231023102310231023102310,0.04125412541254125412541254125,0.09735973597359735973597359736,0.1996699669966996699669966997,0.2755775577557755775577557756,0.2244224422442244224422442244,0.08745874587458745874587458746,0.004950495049504950495049504950,0.006600660066006600660066006601,0.01980198019801980198019801980,0.02640264026402640264026402640,0.02640264026402640264026402640,0.02145214521452145214521452145,0.03960396039603960396039603960,0.2062706270627062706270627063,0.4323432343234323432343234323,0.1782178217821782178217821782,0.01155115511551155115511551155,0.004950495049504950495049504950,0.08745874587458745874587458746,0.1452145214521452145214521452,0.2458745874587458745874587459,0.1551155115511551155115511551,0.1551155115511551155115511551,0.09075907590759075907590759076,0.06105610561056105610561056106,0.02640264026402640264026402640,67.7584269663,83.0486111111,75.3396226415,1.13203306028,2.43602270102,2.11570948841,-0.7199712190108539,3.2853188263313853,8.240364189785305,1.5269598337916415,3.655075417645706,2.6246201825411823,0.5936773316826292,walking
mbaybay,1511212876261.0,0.009523809523809523809523809524,0.03333333333333333333333333333,0.08571428571428571428571428571,0.1634920634920634920634920635,0.1873015873015873015873015873,0.1730158730158730158730158730,0.1380952380952380952380952381,0.1031746031746031746031746032,0.05555555555555555555555555556,0.03650793650793650793650793651,0.01111111111111111111111111111,0.006349206349206349206349206349,0.01746031746031746031746031746,0.05714285714285714285714285714,0.06507936507936507936507936508,0.08888888888888888888888888889,0.2031746031746031746031746032,0.2539682539682539682539682540,0.1920634920634920634920634921,0.08888888888888888888888888889,0.007936507936507936507936507937,0.03650793650793650793650793651,0.1015873015873015873015873016,0.2238095238095238095238095238,0.2380952380952380952380952381,0.1507936507936507936507936508,0.1047619047619047619047619048,0.07619047619047619047619047619,0.03650793650793650793650793651,0.01587301587301587301587301587,64.2131147541,64.9226519337,60.792746114,1.10702900028,1.21734172088,1.48886870577,-0.38891342405288937,0.4964348687065972,10.423743499271453,1.3612302151441347,1.596673132989927,1.897652411892389,0.6711029003680498,walking
mbaybay,1511212876261.0,0.009523809523809523809523809524,0.03333333333333333333333333333,0.08571428571428571428571428571,0.1634920634920634920634920635,0.1873015873015873015873015873,0.1730158730158730158730158730,0.1380952380952380952380952381,0.1031746031746031746031746032,0.05555555555555555555555555556,0.03650793650793650793650793651,0.01111111111111111111111111111,0.006349206349206349206349206349,0.01746031746031746031746031746,0.05714285714285714285714285714,0.06507936507936507936507936508,0.08888888888888888888888888889,0.2031746031746031746031746032,0.2539682539682539682539682540,0.1920634920634920634920634921,0.08888888888888888888888888889,0.007936507936507936507936507937,0.03650793650793650793650793651,0.1015873015873015873015873016,0.2238095238095238095238095238,0.2380952380952380952380952381,0.1507936507936507936507936508,0.1047619047619047619047619048,0.07619047619047619047619047619,0.03650793650793650793650793651,0.01587301587301587301587301587,64.2131147541,64.9226519337,60.792746114,1.10702900028,1.21734172088,1.48886870577,-0.38891342405288937,0.4964348687065972,10.423743499271453,1.3612302151441347,1.596673132989927,1.897652411892389,0.6711029003680498,walking
mbaybay,1511212888449.0,0.04545454545454545454545454545,0.09090909090909090909090909091,0.04545454545454545454545454545,0.1363636363636363636363636364,0.09090909090909090909090909091,0,0.1363636363636363636363636364,0.2272727272727272727272727273,0.04545454545454545454545454545,0.04545454545454545454545454545,0.04545454545454545454545454545,0.04545454545454545454545454545,0.1818181818181818181818181818,0,0.1363636363636363636363636364,0.04545454545454545454545454545,0.1363636363636363636363636364,0.1363636363636363636363636364,0.04545454545454545454545454545,0.09090909090909090909090909091,0.04545454545454545454545454545,0,0,0.04545454545454545454545454545,0.1363636363636363636363636364,0.09090909090909090909090909091,0.1363636363636363636363636364,0.04545454545454545454545454545,0.04545454545454545454545454545,0.09090909090909090909090909091,59.3333333333,71.2,56.0,0.452401279418,0.413581785092,0.97496656938,-0.01761835271661932,2.558472373268821,10.412911848588424,0.5456466168634045,0.491424919124142,1.1441419430399233,0.023639862279457777,walking
Chai,1511212873277.0,0.001658374792703150912106135987,0,0.006633499170812603648424543947,0.01160862354892205638474295191,0.07296849087893864013266998342,0.2437810945273631840796019900,0.3316749585406301824212271973,0.2172470978441127694859038143,0.07462686567164179104477611940,0.02653399668325041459369817579,0.006633499170812603648424543947,0.01824212271973466003316749585,0.06799336650082918739635157546,0.09121061359867330016583747927,0.1276948590381426202321724710,0.1409618573797678275290215589,0.1890547263681592039800995025,0.2023217247097844112769485904,0.1144278606965174129353233831,0.03150912106135986733001658375,0.03814262023217247097844112769,0.1757877280265339966832504146,0.1807628524046434494195688226,0.1774461028192371475953565506,0.1442786069651741293532338308,0.1111111111111111111111111111,0.09452736318407960199004975124,0.04643449419568822553897180763,0.02321724709784411276948590381,0.004975124378109452736318407960,67.9204545455,82.7430555556,78.5131578947,0.956904702376,1.14772401417,2.80225708744,-1.0203046909414515,2.738238333074212,9.338908155956869,1.2597434618712189,1.3856127181016653,3.4228959306610975,0.6033258036943615,walking
